brand,count,mean,std,min,25%,50%,75%,max
via pinky,55.0,26.8752727273,4.29207014481,19.19,24.715,26.39,29.255,41.99
via spiga,81.0,185.175185185,70.2906655451,43.99,146.25,176.98,224.95,396.0
vince,74.0,267.074459459,88.0069353921,103.25,197.65,251.95,296.25,521.25
vince camuto,198.0,98.3710606061,38.5575515708,20.99,70.92,91.74,119.0,238.95
vionic with-orthaheel-technology,46.0,93.9013043478,23.7134192303,34.95,79.99,94.99,109.99,139.99
volatile,52.0,54.2932692308,26.11263121,11.99,39.99,54.96,66.24,129.99
walking cradles,140.0,72.5055714286,39.193085359,17.98,39.99,59.99,98.95,189.95
western chief,130.0,30.5005384615,11.3693108142,5.99,24.0825,29.95,34.76,74.99
white mountain,127.0,49.8715748031,13.1461288541,8.99,42.66,49.85,54.28,92.49
wild diva,98.0,30.0424489796,7.58292045326,14.98,24.76,29.97,34.8025,50.99
wolverine,16.0,125.84875,53.4264956584,54.99,98.49,111.495,140.0,274.95
