None,price,price,price
None,count,mean,median
timberland,644,86.3097204969,79.95
tod's,330,365.769575758,329.62
tommy hilfiger,541,46.9691127542,43.49
toms,513,60.8480701754,54.9
topshop,149,82.6559731544,75.0
tory burch,186,207.16655914,192.45
touch ups,256,47.5446484375,46.875
trotters,320,85.385375,89.95
twisted x,92,145.315869565,167.95
ugg,1051,103.28076118,97.95
ugg australia,907,122.743020948,119.95
umi,117,50.5076923077,50.99
under armour,906,68.784790287,59.99
unionbay,113,35.7177876106,29.99
usa dawgs,153,37.0005228758,29.99
valentino,507,961.171380671,975.0
vaneli,563,82.6500888099,70.0
vans,1035,45.7888985507,42.28
vecceli italy,52,35.5073076923,29.99
versace,53,259.687358491,249.0
via pinky,55,26.8752727273,26.39
via spiga,232,149.699224138,134.995
vince,264,254.392083333,236.485
vince camuto,471,91.7878343949,87.99
vionic with-orthaheel-technology,102,97.41,99.99
volatile,301,43.2832890365,39.99
walking cradles,286,65.2035664336,57.985
western chief,255,30.2469019608,29.95
white mountain,201,43.0886567164,42.95
wild diva,99,30.0248484848,29.95
wolverine,164,118.066890244,105.86
xray,60,56.8316666667,53.24
