,brand,categories,currency,dateSeen,gender,id,name,price,sizes
294264,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpjKoR6LJeJML43si01,Nike Air Jordan 12 Retro Xii Black/blue Mens Basketball Shoes 130690-018,332.99,
158329,nike,[shoes],USD,2015-10-12T00:00:00Z,IDK,AVpfJ7mILJeJML433kDr,Nike Air Foamposite Pro 'gym Red' - 624041-603,332,
244335,nike,[shoes],USD,2015-04-19T14:49:32.083Z,IDK,AVph0WuhLJeJML43fKAB,Nike Air Jordan Xx9 - Black/black-white - 695515-070 (11),327.97,
147303,nike,[shoes],USD,2015-04-19T08:43:16.427Z,IDK,AVpgV87S1cnluZ0-0Lfq,Air Jordan Retro 10 310805 103 White/black/grey Size 12.5,325,
252994,nike,[shoes],USD,2015-04-19T07:52:46.069Z,IDK,AVphku-zLJeJML43cd0Y,"Nike Air Jordan X 10 ""bulls Over Broadway"" - 705178-601",320,
31057,nike,[shoes],USD,2015-04-19T17:57:58.731Z,M,AVpfm6k01cnluZ0-n6jg,Nike Air Jordan 6 Vi Retro Men's Basketball Shoes White/black/carmine 384664-160 (size: 11.5),320,
93212,nike,[shoes],USD,2015-04-20T22:26:28.603Z,M,AVpgw4OkilAPnD_xxBXn,Nike Air Max 90 Denim Qs Men's Shoes Midnight Navy/black-white-infrared 700875-400,320,
148463,nike,[shoes],USD,2015-04-19T15:17:00.620Z,M,AVpgbD6o1cnluZ0-1Qg2,Nike Air Jordan 28 Xx8 Okc Westbrook Us Men's (size 8) 584832-601,319.95,
250117,nike,[shoes],USD,2015-04-21T09:05:53.306Z,M,AVphZxETLJeJML43aey9,Nike Trainers Shoes Mens Air Jordan 1 Retro High Red,319.51,
102220,nike,"[Shoes, Men, Fashion Sneakers]",USD,2015-10-12T00:00:00Z,M,AVpe8NviilAPnD_xRXqM,Mens Nike Air Jordan 6 Retro Olympic Edition Basketball Shoes White / Midnight Navy / Varsity Red 384664-130,315,
192621,nike,"[shoes, Athletic, Team Sports, Men, Basketball]",USD,2015-10-12T00:00:00Z,M,AVpgVr_CLJeJML43MkCl,"Nike Air Foamposite Pro Premium ""elephant Print"" Mens Shoes Wolf Grey/black-hyper Pink 616750-002",315,
213000,nike,"[shoes, Men, Athletic, Team Sports, Soccer]",USD,2015-10-12T00:00:00Z,M,AVpf5j2E1cnluZ0-tOiE,Nike Air Jordan 1 Retro High Og Men's Shoes White/carmine/black 555088-123 (size: 12),315,
94015,nike,[shoes],USD,2015-04-19T17:04:27.661Z,IDK,AVpi6GPt1cnluZ0-RtIC,Nike - Air Jordan Xx8,313.14,
148607,nike,"[Shoes, Men, Athletic, Team Sports, Basketball]",USD,2015-10-08T00:00:00Z,M,AVpgbj_oilAPnD_xsUyK,Air Jordan Retro 7 N7 Extremely Limited Shoes Mens Size 7-15,313.05,
