,index,brand,categories,id,name,price,currency,dateSeen,sizes,gender
204,100346,stuart weitzman,"[Girls' Shoes, Kids, Boots Booties, Shoes]",AVpe4qtvLJeJML43xfWN,"'50/50' Boot (walker, Toddler, Little Kid Big Kid) (online Only)",57.95,USD,2015-11-07T00:00:00Z,"[8 M, 10 M, 13 M, 4 M, 2 M, 7 M, 12 M, 11 M, 5 M, 1 M, 6 M, 9 M]",W
205,10035,geox kids,[Shoes],AVpfHfu9LJeJML432vmv,Jr Light Eclipse 20 (toddler/little Kid),32.99,USD,2016-05-06T00:00:00Z,,IDK
206,100350,nine west,"[Shoes, Flats]",AVpe4r63LJeJML43xfws,Andhearts,29.99,USD,2016-05-06T00:00:00Z,"[10.5, 10, 8.5, 5.5, 7, 6, 9.5, 5, 6.5, 7.5, 9, 8, 11, 12]",IDK
207,100351,loeffler randall,"[Sandals, Shoes]",AVpe4rGNilAPnD_xQECM,Etta,210.0,USD,2016-05-06T00:00:00Z,"[10, 8.5, 5.5, 7, 6, 9.5, 6.5, 7.5, 9, 8, 11]",IDK
208,100359,stuart weitzman,"[Shoes, Boots]",AVpe4sJJ1cnluZ0-ZBTX,Mazing,199.99,USD,2015-10-14T00:00:00Z,"[10.5, 7, 8]",IDK
209,10036,dr. martens,"[Shoes, Boots]",AVpfHfveilAPnD_xVTfc,Pascal 8-eye Boot,120.99,USD,2016-06-19T00:00:00Z,,IDK
210,100363,giuseppe zanotti,"[Sneakers, Men, Shoes]",AVpe4swLilAPnD_xQEoz,Double-zip Sneakers,665.0,USD,2016-07-10T00:00:00Z,"[10.5, 10, 8.5, 7, 9.5, 9, 11.5, 8, 13, 14, 11, 12]",M
211,100366,dream pairs,[shoes],AVpe4tX21cnluZ0-ZBx5,Dream Pairs Girls Light Weight Go Easy Walking Athletic Running Sneakers Shoes,17.99,USD,2015-05-16T09:54:37.063Z,,IDK
212,100367,ecco,"[Men, Shoes, Boots]",AVpe4tYsLJeJML43xgUw,Ecco Men's Grenoble Birch Suede Chukka Boots,180.0,USD,2016-03-03T00:00:00Z,,M
213,100369,fly london,"[Women, shoes]",AVpe4u6Z1cnluZ0-ZCW6,'yema' Open Toe Bootie,209.95,USD,2015-07-14T05:00:00Z,,W
214,10037,reebok,[Shoes],AVpfHg1YLJeJML432v_J,Dmx Max Stride Rs Wide,49.99,USD,2016-02-07T00:00:00Z,"[7.5, 8]",IDK
215,100370,ecco,[Men's Shoes],AVpe4u8gilAPnD_xQFdv,Eisner Tie,149.95,USD,2015-07-14T05:00:00Z,,M
216,100371,merona,[shoes],AVpe4uC3LJeJML43xgk7,Women's Elaina Woven Thong Sandals,19.99,USD,2015-04-21T17:36:45.004Z,[5.5],IDK
217,100374,franco sarto,"[Shoes, Flats]",AVpe4uqqLJeJML43xgzd,Twilight,59.99,USD,2016-05-07T00:00:00Z,"[10, 8.5, 5.5, 7, 6, 9.5, 5, 6.5, 7.5, 9, 8, 11]",IDK
218,100375,mars��ll,"[Women, Shoes, Boots, Ankle Boots]",AVpe4ut6ilAPnD_xQFXw,Paint-splattered Ankle Boots,725.0,USD,2016-05-15T12:15:59Z,"[5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11]",W
219,100378,charades costumes,"[Halloween, Halloween Accessories, Halloween Shoes]",AVpe4vSH1cnluZ0-ZCf3,Black Satin Jester Shoes,12.99,USD,2016-10-04T00:00:00Z,,IDK
