,id,brand,categories,dateUpdated,name,sizes,sourceURLs,prices.amountMin,prices.condition,prices.currency,prices.dateSeen,prices.merchant
19,AVpe-0SN1cnluZ0-bQ9q,PUMA,[shoes],2015-04-03T12:10:49Z,'suede Classic' Sneaker (women),[5.5],shop.nordstrom.com,58.95,,USD,2015-04-03T15:44:42.159Z,
20,AVpe-0U9ilAPnD_xSTyK,Pikolinos,"[Women, Shoes, Boots]",2016-07-27T21:58:06Z,Pikolinos 801-9513f Women Boots,,www.amazon.com,199.99,,USD,2016-03-19T00:00:00Z,Amazon.com
21,AVpe-0foilAPnD_xST2I,Harley-Davidson,"[Sandals, Shoes]",2016-07-29T22:30:05Z,Michelle,"[10, 8.5, 5.5, 7, 6, 9.5, 5, 7.5, 9, 8, 11]",www.6pm.com,70.0,New,USD,2016-05-07T00:00:00Z,6pm.com
22,AVpe-0vy1cnluZ0-bRIB,Dr. Martens,"[Shoes, Boots]",2016-05-06T10:09:03Z,Church,,www.6pm.com,139.99,New,USD,2016-05-05T00:00:00Z,6pm.com
23,AVpe-0wZLJeJML43zvlh,Clarks,[Shoes],2015-09-10T17:11:38Z,Clarks Boys Pre-school Softlyrhys Fst Suede Sandals In,,www.amazon.co.uk,30.0,new,EUR,2015-09-07T00:00:00Z,McConnell Shoes
24,AVpe-0zEilAPnD_xST9G,Laufsteg M��nchen,[Shoes],2015-09-10T17:28:27Z,Laufsteg M��nchen Womens Fs150905 Ankle Boots,,www.amazon.co.uk,26.01,new,EUR,2015-09-05T00:00:00Z,Amazon.co.uk
25,AVpe-18NLJeJML43zwAn,Jack Rogers,"[Kids, Girls' Shoes]",2016-03-29T19:55:46Z,'jack' Sandal (baby),,shop.nordstrom.com,49.95,,USD,2016-03-29T00:00:00Z,
26,AVpe-1GKilAPnD_xSUEA,Butterfly,[Shoes],2015-09-10T16:53:40Z,Butterfly Twists Women's Small Red Butterfly Satin Pumps Ballet,[Small],www.amazon.co.uk,55.0,new,EUR,2015-09-06T00:00:00Z,Amazon.co.uk
27,AVpe-1JV1cnluZ0-bRRN,L.A.M.B.,"[Sandals, Shoes]",2016-04-11T17:08:16Z,Bellatrix,"[8.5, 10, 7, 6, 9.5, 6.5, 7.5, 9, 8]",www.6pm.com,89.99,New,USD,2016-04-10T00:00:00Z,6pm.com
28,AVpe-1R61cnluZ0-bRUe,Dublin,[Shoes],2015-08-24T19:41:59Z,Black Horse Riding Jodhpur Boots All Sizes Adults & Kids (7uk),,www.amazon.co.uk,23.99,new,EUR,2015-08-23T00:00:00Z,Just Horse Riders
29,AVpe-1bEilAPnD_xSULK,BeMIX,[Shoes],2015-08-24T20:09:15Z,Bemix Women's Shoes Platform Spool Heel Sandals Shoes,,www.amazon.co.uk,93.96,new,EUR,2015-08-22T00:00:00Z,Amazon.co.uk
30,AVpe-1eV1cnluZ0-bRZG,Generic,"[Baby, Baby Shoes]",2016-02-14T12:30:16Z,Hot Baby Shoes Girl Toddler Non-slip Pretty Flower Soft Prewalker 0-12 Month Wk,,www.ebay.com.au,5.42,New in box,AUD,2016-02-10T00:00:00Z,
31,AVpe-1hP1cnluZ0-bRaK,adidas Outdoor,[Shoes],2015-10-30T17:41:39Z,Response Trail 21 M,"[7, 6.5]",www.6pm.com,59.99,New,USD,2015-10-28T00:00:00Z,6pm.com
32,AVpe-1oz1cnluZ0-bRdA,Steve Madden,"[Shoes, Boots]",2016-05-06T09:31:57Z,Deron,"[10.5, 10, 8.5, 7, 9.5, 7.5, 11.5, 9, 8, 13, 11, 12]",www.zappos.com,44.99,New,USD,2016-05-05T00:00:00Z,6pm.com
33,AVpe-1s-ilAPnD_xSURR,Sue Hill,[Shoes],2015-08-15T02:48:25Z,Sue Hill Hand Knitted Cashmere Picot Edge Hooded Blanket & Booties Cream/beige,,www.amazon.co.uk,139.0,new,EUR,2015-08-09T00:00:00Z,Sue Hill
34,AVpe-20cLJeJML43zwUi,Tommy Hilfiger,[Girls' Shoes],2015-08-14T18:07:54Z,Kayleigh Studded Bow Flat Pre/grade School,"[13M, 1M, 2M, 3M, 4M, 5M]",www.shoes.com,38.95,New,USD,2015-08-13T00:00:00Z,Shoes.com
35,AVpe-2FQLJeJML43zwD-,J M-Est-1850,[men shoes],2015-04-28T14:00:20Z,Jm Est. 1850 Men's Mcgavock Monk Strap Loafers,,www.dillards.com,198.0,,USD,2015-04-26T22:23:46.187Z,Dillards.com
36,AVpe-2MK1cnluZ0-bRoc,NA,"[Shoes, Women's Boots]",2015-10-08T18:01:49Z,New Now Fall 2015-fur Sure 2,,www.bergners.com,38.4,,USD,2015-10-07T00:00:00Z,
37,AVpe-2NeilAPnD_xSUbk,muk luks,"[1in - 1 3/4in, Moto, MUK LUKS, Black, Under 1in, Other, Shoes, Boots, Womens, Teens]",2016-05-20T08:15:36Z,Alana Women's Boots,"[10, 7, 6, 9, 8]",www.kohls.com,84.99,New,USD,2015-09-14T00:00:00Z,Kohls.com
38,AVpe-2af1cnluZ0-bRtY,Oakley,[Golf Shoes],2014-02-21T04:31:27Z,Oakley Men's Servodrive Golf Shoe,,www.buy.com,69.99,,USD,2014-02-21T04:31:27Z,
39,AVpe-2b3LJeJML43zwK-,Burton,"[Boys' Shoes, Shoes, Boots]",2016-05-03T04:32:12Z,Burton Emerald Boa Winter 2016,"[3, 6W, 5W, 9W, 40, 6.5W, 39, 38]",www.amazon.co.uk,203.63,new,EUR,2016-04-25T00:00:00Z,Amazon.co.uk
40,AVpe-2cFilAPnD_xSUgn,Living Kitzbuhel,[Shoes],2015-09-10T16:52:52Z,Living Kitzbuhel Women's Arizona Outdoor Sole,,www.amazon.co.uk,49.0,new,EUR,2015-09-06T00:00:00Z,Amazon
41,AVpe-2cailAPnD_xSUgx,Cobb Hill,"[women, Shoes, Flats, Comfort]",2015-11-13T12:36:44Z,'paula' Perforated Loafer (women),"[6, 8.5, 10, 7, 9.5, 6.5, 7.5, 9, 8, 11]",shop.nordstrom.com,99.95,,USD,2015-05-12T16:41:48.172Z,
42,AVpe-2nUilAPnD_xSUkv,Ajvani,[Shoes],2015-09-10T17:29:18Z,Womens Ladies Low Heel Flat Strap Buckle Winter Gold Zip Calf Fur Biker Riding Boots Size,,www.amazon.co.uk,19.99,new,EUR,2015-09-05T00:00:00Z,Amazon.co.uk
43,AVpe-2nsLJeJML43zwPm,Moolecole,[Shoes],2015-09-10T17:43:59Z,Moolecole Womens Casual Breathable Fashionable Low Top Leather Color-matching Moccasins,,www.amazon.co.uk,46.9,new,EUR,2015-09-06T00:00:00Z,Amazon.co.uk
44,AVpe-2ot1cnluZ0-bRzF,Nina Originals,"[Shoes, Boots]",2016-05-06T09:32:14Z,Amaze,"[10, 8.5, 7, 6, 9.5, 6.5, 7.5, 9, 8]",www.6pm.com,89.99,New,USD,2016-05-05T00:00:00Z,6pm.com
45,AVpe-2qxLJeJML43zwQ2,BCBGeneration,"[Boots Booties, Women, Shoes, Shoes Under 100]",2015-11-09T06:28:42Z,'kenan' Platform Wedge Boot (women),"[8.5, 10, 6.5, 9, 8]",shop.nordstrom.com,70.77,,USD,2015-11-05T00:00:00Z,
46,AVpe-33U1cnluZ0-bSQT,Cole Haan,"[Shoes, Boots]",2016-05-06T10:11:58Z,Lunargrand Chelsea,"[10.5, 8.5, 9.5, 13, 11, 12, 10, 7, 7.5, 11.5, 9, 8]",www.6pm.com,125.99,New,USD,2016-05-05T00:00:00Z,6pm.com
47,AVpe-37GilAPnD_xSVEY,More Mile,"[Running Shoes, Trail Running Shoes, Shoes, Men's Shoes, Sports]",2016-03-09T17:50:57Z,More Mile Cheviot 2 Mens Off Road / Trail Running Shoes Trainers Mm1506-09,,www.amazon.co.uk,79.99,new,EUR,2016-01-29T00:00:00Z,Amazon.co.uk
48,AVpe-3A71cnluZ0-bR8k,Heavenly Feet,[Shoes],2015-09-10T16:14:15Z,Heavenly Feet Womens Sandals Elise Leopard,,www.amazon.co.uk,45.0,new,EUR,2015-09-07T00:00:00Z,Amazon.co.uk
49,AVpe-3DWLJeJML43zwau,iLoveSIA,[Shoes],2015-09-10T16:10:20Z,Ilovesia Men's Suede Leather Desert Boots,,www.amazon.co.uk,59.99,new,EUR,2015-09-08T00:00:00Z,Amazon.co.uk
50,AVpe-3DjilAPnD_xSUv1,Spylovebuy,[Shoes],2015-09-10T17:24:58Z,Spy Love Buy Ancona Block Heel Stretch Zip Knee High Boots,,www.amazon.co.uk,27.99,new,EUR,2015-09-05T00:00:00Z,Amazon.co.uk
51,AVpe-3FY1cnluZ0-bR-T,Route 21,[Shoes],2015-09-10T16:12:12Z,Route 21 Twin Gusset Ankle Boot Chelsea Style Mens Designer Smart Boots In Black Uk 9,,www.amazon.co.uk,24.99,new,EUR,2015-09-08T00:00:00Z,Shoesbyclaire
52,AVpe-3I_ilAPnD_xSUxm,Bandolino,"[Sandals, Shoes]",2016-07-29T22:05:44Z,Heelda,"[10.5, 8.5, 10, 7, 6, 9.5, 6.5, 7.5, 9, 8]",www.6pm.com,69.0,New,USD,2016-04-05T00:00:00Z,6pm.com
53,AVpe-3JuilAPnD_xSUx8,Footwear Studio,[Shoes],2015-09-10T17:15:54Z,Manfield Women's Black Knee High Boots Ladies Distressed Faux Leather Boot Size 3 4 5,,www.amazon.co.uk,21.99,new,EUR,2015-09-05T00:00:00Z,Amazon.co.uk
54,AVpe-3PlilAPnD_xSU0I,BeMIX,[Shoes],2015-08-24T20:07:47Z,Bemix Women's Shoes Flats Comfort Pointed Toe White,,www.amazon.co.uk,30.18,new,EUR,2015-08-22T00:00:00Z,Amazon.co.uk
55,AVpe-3nKilAPnD_xSU82,Trotters,"[Loafers, Shoes]",2016-05-07T00:06:39Z,Zell,"[6, 6.5]",www.6pm.com,64.38,New,USD,2016-03-30T00:00:00Z,6pm.com
56,AVpe-3zRilAPnD_xSVBA,Sayoyo,"[Shoes, Baby Products, Gifts, Keepsakes]",2016-03-28T13:44:08Z,Sayoyo Baby Caterpillar Soft Sole Leather Infant Toddler Prewalker Shoes,,www.amazon.com,7.49,new,EUR,2015-08-09T00:00:00Z,Sayoyo baby shoes
